zip,latitude,longitude,bbox
90001,33.974027,-118.24951,"-118.265185,33.958518,-118.230013,33.989498"
90002,33.949099,-118.246737,"-118.265161,33.936951,-118.226507,33.961768"
90003,33.964136,-118.273719,"-118.283204,33.938264,-118.262969,33.989227"
90004,34.076197,-118.310722,"-118.338583,34.068528,-118.281594,34.083733"
90005,34.059163,-118.306892,"-118.338167,34.05513,-118.282294,34.063715"
90006,34.048041,-118.294177,"-118.310147,34.039285,-118.274313,34.055942"
90007,34.028127,-118.28483,"-118.301494,34.013039,-118.264679,34.040042"
90008,34.009605,-118.347069,"-118.374079,33.996802,-118.317069,34.019131"
90010,34.062147,-118.31589,"-118.338469,34.059671,-118.289895,34.064937"
90011,34.00707,-118.25867,"-118.274021,33.986062,-118.242772,34.030991"
90012,34.066019,-118.238213,"-118.256045,34.045538,-118.224513,34.08913"
90013,34.044876,-118.240421,"-118.25418,34.038137,-118.227695,34.052347"
90014,34.043146,-118.251747,"-118.257926,34.037303,-118.24524,34.050176"
90015,34.039378,-118.2663,"-118.284102,34.02588,-118.24926,34.051799"
90016,34.028766,-118.354565,"-118.385227,34.016419,-118.329738,34.042776"
90017,34.052913,-118.26434,"-118.275461,34.043727,-118.253932,34.062051"
90018,34.028887,-118.317183,"-118.335101,34.016129,-118.300165,34.040904"
90019,34.048638,-118.338736,"-118.370497,34.039686,-118.308999,34.05932"
90020,34.066379,-118.30987,"-118.337763,34.061714,-118.284302,34.071186"
90021,34.02934,-118.238768,"-118.257437,34.017303,-118.223361,34.042553"
90022,34.024516,-118.156059,"-118.176027,34.00721,-118.126646,34.051585"
90023,34.022724,-118.199845,"-118.227695,34.001574,-118.172998,34.04229"
90024,34.065737,-118.435016,"-118.457898,34.048661,-118.414344,34.082751"
90025,34.045502,-118.445918,"-118.474465,34.032633,-118.4162,34.061389"
90026,34.079216,-118.26298,"-118.284454,34.056183,-118.232118,34.10031"
90027,34.12522,-118.29057,"-118.312615,34.09489,-118.265391,34.161439"
90028,34.099912,-118.326912,"-118.346769,34.093487,-118.3092,34.107731"
90029,34.089848,-118.29466,"-118.309211,34.083509,-118.277162,34.096706"
90031,34.080298,-118.210781,"-118.243823,34.060248,-118.19064,34.102895"
90032,34.079602,-118.178053,"-118.202841,34.060453,-118.155292,34.101921"
90033,34.051025,-118.211618,"-118.229988,34.033727,-118.192564,34.065603"
90034,34.030698,-118.399452,"-118.429918,34.012109,-118.368792,34.04643"
90035,34.051808,-118.383674,"-118.406643,34.04141,-118.364894,34.062954"
90036,34.070138,-118.34985,"-118.363818,34.054199,-118.336545,34.083811"
90037,34.002718,-118.287486,"-118.300758,33.989103,-118.27279,34.018177"
90038,34.088751,-118.326528,"-118.345153,34.08165,-118.309145,34.095821"
90039,34.111841,-118.260058,"-118.278337,34.082876,-118.22689,34.15326"
90040,33.993461,-118.149077,"-118.183649,33.970934,-118.121307,34.017399"
90041,34.137574,-118.207638,"-118.229156,34.11758,-118.180376,34.151626"
90042,34.114624,-118.191948,"-118.217401,34.091053,-118.16593,34.133732"
90043,33.988856,-118.335227,"-118.358898,33.967249,-118.317112,34.00369"
90044,33.95273,-118.291904,"-118.309055,33.916422,-118.280567,33.989139"
90045,33.952956,-118.400171,"-118.439743,33.92365,-118.368375,33.982796"
90046,34.107416,-118.365218,"-118.399444,34.081567,-118.344035,34.131089"
90047,33.954485,-118.309004,"-118.321735,33.916441,-118.300193,33.989719"
90048,34.072926,-118.372712,"-118.390718,34.058054,-118.361375,34.083811"
90049,34.087191,-118.489267,"-118.521475,34.04143,-118.449929,34.131223"
90056,33.988047,-118.370361,"-118.386552,33.976424,-118.357254,33.998576"
90057,34.062158,-118.277099,"-118.28436,34.05188,-118.266594,34.072782"
90058,34.002451,-118.213875,"-118.244983,33.983094,-118.169859,34.020595"
90059,33.926311,-118.249627,"-118.265276,33.902376,-118.225119,33.941513"
90061,33.920362,-118.27407,"-118.286957,33.901893,-118.263144,33.939219"
90062,34.003638,-118.308806,"-118.317727,33.989102,-118.300164,34.018255"
90063,34.045106,-118.185914,"-118.206036,34.027309,-118.169254,34.063255"
90064,34.036962,-118.42497,"-118.46146,34.017093,-118.398351,34.056556"
90065,34.108923,-118.227607,"-118.254135,34.080315,-118.200556,34.136072"
90066,34.001241,-118.430603,"-118.455804,33.973535,-118.407941,34.026861"
90067,34.057597,-118.413998,"-118.421294,34.051259,-118.406023,34.064324"
90068,34.12835,-118.328223,"-118.367879,34.104012,-118.300818,34.156313"
90069,34.093831,-118.381697,"-118.396506,34.080368,-118.366941,34.107532"
90071,34.052876,-118.254943,"-118.259321,34.050134,-118.250157,34.056087"
90073,34.054534,-118.457025,"-118.468257,34.048365,-118.448567,34.062588"
90077,34.105453,-118.456128,"-118.482844,34.073452,-118.425551,34.132934"
90079,34.040587,-118.255404,"-118.256716,34.039571,-118.254093,34.041599"
90089,34.024435,-118.280283,"-118.291538,34.01741,-118.203489,34.062396"
90090,34.072862,-118.240989,"-118.247456,34.068249,-118.236107,34.07677"
90094,33.975411,-118.416996,"-118.432009,33.96588,-118.397569,33.984006"
90095,34.071225,-118.443373,"-118.44955,34.063639,-118.437208,34.078246"
90201,33.97074,-118.170909,"-118.206239,33.951894,-118.129423,33.999547"
90210,34.101056,-118.414734,"-118.442378,34.067036,-118.389672,34.135477"
90211,34.064958,-118.382979,"-118.390298,34.057085,-118.372027,34.072122"
90212,34.06221,-118.401966,"-118.416319,34.052666,-118.389668,34.068845"
90220,33.88077,-118.236064,"-118.265404,33.846568,-118.215593,33.90336"
90221,33.886166,-118.205942,"-118.22269,33.846545,-118.179945,33.913061"
90222,33.912376,-118.236509,"-118.259672,33.902526,-118.215523,33.924628"
90230,33.997243,-118.394597,"-118.419121,33.976633,-118.369448,34.01677"
90232,34.018766,-118.391748,"-118.41692,34.004141,-118.369577,34.03508"
90240,33.956812,-118.118702,"-118.145937,33.938937,-118.093611,33.97299"
90241,33.940842,-118.129142,"-118.161267,33.920123,-118.090015,33.960924"
90242,33.922111,-118.141458,"-118.170424,33.902455,-118.109848,33.943933"
90245,33.916503,-118.403861,"-118.437121,33.901649,-118.374325,33.931495"
90247,33.89135,-118.297371,"-118.313493,33.872381,-118.28481,33.91741"
90248,33.876599,-118.283505,"-118.312123,33.839474,-118.262304,33.916422"
90249,33.901487,-118.317053,"-118.335118,33.882821,-118.299765,33.91741"
